Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1185732,10/09/2022,Southeast,Florida,Miami,Men's Apparel,64,195,"12,480","6,240",50%,Online
Kohl's,1189833,10/10/2022,West,New Mexico,Albuquerque,Men's Athletic Footwear,36,83,"2,988","1,046",35%,Outlet
Sports Direct,1197831,10/10/2022,South,Tennessee,Knoxville,Women's Street Footwear,36,31,"1,116",435,39%,Outlet
West Gear,1128299,10/10/2022,Northeast,New York,Albany,Men's Apparel,46,63,"2,898",811,28%,Online
Foot Locker,1185732,10/10/2022,Midwest,Iowa,Des Moines,Men's Apparel,49,60,"2,940","1,117",38%,In-store
Sports Direct,1185732,10/10/2022,Southeast,Florida,Miami,Women's Apparel,64,213,"13,632","8,179",60%,Online
Amazon,1185732,10/10/2022,Northeast,New Hampshire,Manchester,Men's Street Footwear,26,133,"3,458","1,279",37%,Online
Sports Direct,1197831,10/10/2022,Southeast,South Carolina,Charleston,Men's Apparel,41,48,"1,968",630,32%,In-store
Sports Direct,1197831,10/10/2022,South,Texas,Dallas,Women's Athletic Footwear,7,400,"2,800","1,092",39%,Online
Kohl's,1189833,10/10/2022,West,New Mexico,Albuquerque,Women's Apparel,61,7,427,145,34%,Online
West Gear,1128299,10/10/2022,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,43,119,"5,117","2,456",48%,Outlet
Walmart,1185732,10/10/2022,South,Mississippi,Jackson,Men's Street Footwear,49,133,"6,517","2,933",45%,Online
West Gear,1128299,10/10/2022,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,36,107,"3,852","2,196",57%,Online
West Gear,1128299,10/10/2022,West,California,San Francisco,Women's Street Footwear,28,218,"6,104","2,869",47%,Online
Sports Direct,1197831,10/10/2022,South,Texas,Dallas,Women's Apparel,67,1,67,35,52%,Outlet
West Gear,1128299,10/10/2022,Midwest,Wisconsin,Milwaukee,Women's Apparel,62,97,"6,014","1,804",30%,Online
Amazon,1185732,10/10/2022,Northeast,Maine,Portland,Men's Apparel,51,56,"2,856","1,028",36%,Online
Sports Direct,1185732,10/10/2022,Southeast,Florida,Miami,Women's Apparel,70,170,"11,900","5,950",50%,In-store
Sports Direct,1197831,10/10/2022,West,New Mexico,Albuquerque,Men's Street Footwear,35,133,"4,655","1,769",38%,Online
Sports Direct,1197831,10/10/2022,South,Tennessee,Knoxville,Women's Street Footwear,47,217,"10,199","5,711",56%,Online
West Gear,1128299,10/10/2022,West,Oregon,Portland,Women's Street Footwear,38,309,"11,742","4,345",37%,Online
Sports Direct,1197831,10/10/2022,Midwest,North Dakota,Fargo,Men's Street Footwear,44,138,"6,072","3,036",50%,Online
Foot Locker,1185732,10/10/2022,Southeast,Virginia,Richmond,Women's Apparel,34,187,"6,358","1,526",24%,Outlet
Amazon,1185732,10/10/2022,Northeast,Maine,Portland,Women's Apparel,50,69,"3,450","1,518",44%,Outlet
Walmart,1185732,10/10/2022,Southeast,Florida,Orlando,Men's Street Footwear,37,127,"4,699","1,880",40%,Online
Foot Locker,1185732,10/11/2022,Southeast,South Carolina,Charleston,Men's Athletic Footwear,45,141,"6,345","2,919",46%,Online
Foot Locker,1185732,10/11/2022,West,Arizona,Phoenix,Men's Street Footwear,59,133,"7,847","3,060",39%,Online
Foot Locker,1185732,10/11/2022,Midwest,Nebraska,Omaha,Women's Athletic Footwear,34,400,"13,600","5,168",38%,Outlet
Amazon,1185732,10/11/2022,Southeast,Kentucky,Louisville,Men's Athletic Footwear,50,337,"16,850","7,246",43%,Outlet
Amazon,1185732,10/11/2022,Midwest,Ohio,Columbus,Women's Apparel,60,33,"1,980",733,37%,Online
Foot Locker,1185732,10/11/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,96,126,"12,096","4,838",40%,Online
Kohl's,1189833,10/11/2022,West,New Mexico,Albuquerque,Men's Athletic Footwear,30,140,"4,200","1,512",36%,Outlet
Foot Locker,1185732,10/11/2022,Northeast,New Hampshire,Manchester,Men's Apparel,43,68,"2,924","1,228",42%,Online
Amazon,1185732,10/11/2022,Northeast,Vermont,Burlington,Men's Street Footwear,24,171,"4,104","2,298",56%,Online
West Gear,1128299,10/11/2022,Northeast,West Virginia,Charleston,Men's Street Footwear,16,140,"2,240",918,41%,Outlet
Foot Locker,1185732,10/11/2022,West,Wyoming,Cheyenne,Men's Street Footwear,43,149,"6,407","2,755",43%,Online
Kohl's,1189833,10/11/2022,West,California,Los Angeles,Women's Apparel,74,71,"5,254","3,363",64%,Outlet
Foot Locker,1185732,10/11/2022,Northeast,New Hampshire,Manchester,Women's Apparel,62,206,"12,772","7,663",60%,Online
Foot Locker,1185732,10/11/2022,Northeast,Pennsylvania,Philadelphia,Men's Apparel,44,52,"2,288","1,075",47%,Online
Foot Locker,1185732,10/11/2022,South,Mississippi,Jackson,Women's Street Footwear,61,104,"6,344","2,664",42%,Outlet
West Gear,1128299,10/11/2022,West,Oregon,Portland,Men's Apparel,37,400,"14,800","7,548",51%,In-store
Amazon,1185732,10/11/2022,Northeast,New Hampshire,Manchester,Women's Street Footwear,22,133,"2,926","1,200",41%,Online
Amazon,1185732,10/11/2022,Northeast,Maine,Portland,Women's Apparel,34,133,"4,522","2,351",52%,Online
West Gear,1128299,10/11/2022,West,California,San Francisco,Men's Street Footwear,42,217,"9,114","3,463",38%,Online
Sports Direct,1197831,10/12/2022,Midwest,Michigan,Detroit,Women's Athletic Footwear,30,133,"3,990","1,995",50%,Outlet
Foot Locker,1185732,10/12/2022,South,Tennessee,Knoxville,Women's Apparel,48,133,"6,384","3,256",51%,Outlet
West Gear,1128299,10/12/2022,Northeast,New York,Albany,Women's Apparel,20,268,"5,360","2,948",55%,Online
Foot Locker,1185732,10/12/2022,Midwest,Iowa,Des Moines,Men's Apparel,49,69,"3,381","1,420",42%,Outlet
Kohl's,1189833,10/12/2022,Midwest,Montana,Billings,Men's Street Footwear,32,196,"6,272","3,575",57%,In-store
Foot Locker,1185732,10/12/2022,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,58,130,"7,540","2,337",31%,Online
Walmart,1185732,10/12/2022,Southeast,Florida,Orlando,Women's Athletic Footwear,43,235,"10,105","3,436",34%,Online
Sports Direct,1197831,10/12/2022,South,Mississippi,Jackson,Women's Athletic Footwear,41,149,"6,109","2,627",43%,Online
Sports Direct,1197831,10/12/2022,Midwest,Michigan,Detroit,Men's Street Footwear,45,133,"5,985","3,232",54%,In-store
West Gear,1128299,10/12/2022,Midwest,Indiana,Indianapolis,Men's Apparel,71,296,"21,016","6,725",32%,Online
West Gear,1128299,10/12/2022,West,California,San Francisco,Women's Athletic Footwear,47,400,"18,800","9,212",49%,Online
Kohl's,1189833,10/12/2022,Northeast,Delaware,Wilmington,Men's Athletic Footwear,31,280,"8,680","3,819",44%,Online
Sports Direct,1197831,10/13/2022,South,Alabama,Birmingham,Women's Apparel,34,48,"1,632",473,29%,Online
Amazon,1185732,10/13/2022,Northeast,New Hampshire,Manchester,Women's Apparel,77,108,"8,316","2,328",28%,Outlet
Foot Locker,1185732,10/13/2022,South,Louisiana,New Orleans,Women's Athletic Footwear,20,69,"1,380",649,47%,In-store
Sports Direct,1197831,10/13/2022,South,Tennessee,Knoxville,Men's Apparel,33,133,"4,389","2,633",60%,Outlet
Sports Direct,1197831,10/13/2022,Southeast,Florida,Orlando,Women's Street Footwear,72,131,"9,432","3,018",32%,Online
Amazon,1185732,10/13/2022,Northeast,Maine,Portland,Women's Athletic Footwear,40,1,40,15,38%,In-store
Amazon,1185732,10/13/2022,South,Alabama,Birmingham,Women's Street Footwear,36,1,36,14,40%,Online
Sports Direct,1197831,10/13/2022,South,Tennessee,Knoxville,Men's Apparel,49,233,"11,417","5,138",45%,Online
Kohl's,1189833,10/13/2022,Midwest,Montana,Billings,Women's Apparel,53,170,"9,010","5,316",59%,Outlet
Sports Direct,1197831,10/13/2022,Northeast,Massachusetts,Boston,Men's Apparel,61,208,"12,688","4,568",36%,Online
West Gear,1128299,10/13/2022,Northeast,New York,Albany,Women's Apparel,50,54,"2,700","1,107",41%,Online
Foot Locker,1185732,10/13/2022,Midwest,Kansas,Wichita,Women's Apparel,52,266,"13,832","6,916",50%,Online
Kohl's,1189833,10/13/2022,Midwest,Kansas,Wichita,Women's Street Footwear,38,41,"1,558",499,32%,Online
West Gear,1128299,10/13/2022,Midwest,Iowa,Des Moines,Men's Street Footwear,47,120,"5,640","1,748",31%,Online
Foot Locker,1185732,10/13/2022,Northeast,New Hampshire,Manchester,Men's Street Footwear,71,266,"18,886","6,421",34%,Online
Kohl's,1189833,10/13/2022,West,Wyoming,Cheyenne,Women's Athletic Footwear,54,145,"7,830","4,072",52%,Online
Amazon,1185732,10/13/2022,Northeast,Maine,Portland,Women's Apparel,45,133,"5,985","2,873",48%,Online
Foot Locker,1185732,10/13/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,27,155,"4,185","2,469",59%,Online
Sports Direct,1197831,10/13/2022,West,Hawaii,Honolulu,Men's Apparel,53,247,"13,091","2,618",20%,Outlet
Amazon,1185732,10/14/2022,Southeast,Kentucky,Louisville,Women's Apparel,31,173,"5,363","2,467",46%,Online
Foot Locker,1185732,10/14/2022,Northeast,Rhode Island,Providence,Women's Street Footwear,50,133,"6,650","2,194",33%,Outlet
Foot Locker,1185732,10/14/2022,Northeast,Connecticut,Hartford,Men's Street Footwear,54,400,"21,600","10,584",49%,Outlet
West Gear,1128299,10/14/2022,Midwest,Indiana,Indianapolis,Men's Street Footwear,35,155,"5,425","2,984",55%,In-store
West Gear,1128299,10/14/2022,Midwest,Wisconsin,Milwaukee,Women's Apparel,51,178,"9,078","5,719",63%,Outlet
West Gear,1128299,10/14/2022,West,Oregon,Portland,Men's Street Footwear,36,121,"4,356","2,352",54%,Online
Sports Direct,1197831,10/14/2022,Northeast,Maryland,Baltimore,Men's Apparel,53,284,"15,052","6,623",44%,Outlet
Sports Direct,1197831,10/14/2022,South,Texas,Dallas,Men's Athletic Footwear,56,129,"7,224","2,601",36%,Outlet
Foot Locker,1185732,10/14/2022,Northeast,Pennsylvania,Philadelphia,Men's Apparel,21,133,"2,793",559,20%,Online
Foot Locker,1185732,10/14/2022,West,Arizona,Phoenix,Men's Street Footwear,53,71,"3,763","1,505",40%,Online
West Gear,1128299,10/14/2022,West,Utah,Salt Lake City,Women's Street Footwear,48,201,"9,648","4,728",49%,Outlet
West Gear,1128299,10/14/2022,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,37,226,"8,362","3,345",40%,Online
Amazon,1185732,10/14/2022,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,66,95,"6,270","1,944",31%,In-store
Foot Locker,1185732,10/14/2022,Northeast,Delaware,Wilmington,Women's Athletic Footwear,37,205,"7,585","4,399",58%,Online
Sports Direct,1197831,10/14/2022,Southeast,Georgia,Atlanta,Men's Street Footwear,43,238,"10,234","5,117",50%,Online
Foot Locker,1185732,10/14/2022,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,19,1,19,9,45%,Online
Walmart,1185732,10/14/2022,Southeast,Florida,Orlando,Women's Athletic Footwear,38,1,38,19,50%,Online
West Gear,1128299,10/14/2022,West,Oregon,Portland,Women's Street Footwear,46,175,"8,050","2,415",30%,In-store
West Gear,1128299,10/14/2022,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,28,52,"1,456",495,34%,Online
Sports Direct,1197831,10/14/2022,Southeast,Georgia,Atlanta,Women's Apparel,56,295,"16,520","9,582",58%,Outlet
Kohl's,1189833,10/14/2022,Midwest,Montana,Billings,Men's Apparel,50,168,"8,400","1,848",22%,In-store
Foot Locker,1185732,10/14/2022,West,Idaho,Boise,Men's Street Footwear,46,129,"5,934","2,848",48%,In-store
Foot Locker,1185732,10/14/2022,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,57,144,"8,208","2,955",36%,Outlet
West Gear,1128299,10/14/2022,West,California,San Francisco,Women's Street Footwear,62,400,"24,800","10,416",42%,Online
West Gear,1128299,10/14/2022,West,Oregon,Portland,Women's Street Footwear,37,103,"3,811","1,639",43%,Online
Sports Direct,1197831,10/14/2022,Northeast,Massachusetts,Boston,Women's Street Footwear,31,133,"4,123","1,855",45%,Online
Foot Locker,1185732,10/14/2022,Midwest,South Dakota,Sioux Falls,Men's Apparel,34,133,"4,522","1,854",41%,Online
Sports Direct,1197831,10/14/2022,Southeast,Georgia,Atlanta,Men's Apparel,34,79,"2,686","1,021",38%,Online
Kohl's,1189833,10/15/2022,Northeast,New Jersey,Newark,Men's Apparel,61,150,"9,150","3,386",37%,Outlet
Foot Locker,1185732,10/15/2022,Midwest,South Dakota,Sioux Falls,Women's Apparel,65,231,"15,015","5,856",39%,Online
Walmart,1185732,10/15/2022,West,Hawaii,Honolulu,Women's Apparel,53,133,"7,049","3,877",55%,Online
Walmart,1185732,10/15/2022,South,Mississippi,Jackson,Women's Street Footwear,41,1,41,16,40%,In-store
Foot Locker,1185732,10/15/2022,Midwest,Nebraska,Omaha,Men's Street Footwear,31,161,"4,991","2,795",56%,Online
Sports Direct,1197831,10/15/2022,Northeast,New Jersey,Newark,Women's Street Footwear,31,97,"3,007","1,534",51%,Outlet
West Gear,1128299,10/15/2022,South,Louisiana,New Orleans,Men's Street Footwear,9,146,"1,314",604,46%,Online
Amazon,1185732,10/15/2022,Southeast,Kentucky,Louisville,Men's Apparel,43,69,"2,967","1,691",57%,Online
Amazon,1185732,10/15/2022,Northeast,Vermont,Burlington,Men's Street Footwear,55,152,"8,360","3,344",40%,In-store
Walmart,1185732,10/15/2022,Southeast,Florida,Orlando,Women's Athletic Footwear,39,133,"5,187","2,282",44%,Online
Sports Direct,1197831,10/15/2022,Northeast,Connecticut,Hartford,Women's Street Footwear,41,39,"1,599",672,42%,Online
Amazon,1185732,10/15/2022,Northeast,Maine,Portland,Women's Apparel,68,133,"9,044","4,341",48%,In-store
Amazon,1185732,10/15/2022,West,Alaska,Anchorage,Women's Street Footwear,50,266,"13,300","6,783",51%,Online
Foot Locker,1185732,10/15/2022,Northeast,Pennsylvania,Philadelphia,Men's Apparel,68,400,"27,200","5,440",20%,Online
West Gear,1128299,10/15/2022,South,Louisiana,New Orleans,Women's Street Footwear,20,400,"8,000","2,880",36%,In-store
Amazon,1185732,10/15/2022,Northeast,Maine,Portland,Men's Apparel,40,136,"5,440","2,774",51%,Outlet
Amazon,1185732,10/15/2022,Northeast,Vermont,Burlington,Women's Apparel,34,133,"4,522","1,764",39%,Outlet
Foot Locker,1185732,10/15/2022,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,38,400,"15,200","5,928",39%,Online
Sports Direct,1197831,10/15/2022,South,Tennessee,Knoxville,Women's Street Footwear,27,114,"3,078","1,447",47%,Outlet
Sports Direct,1197831,10/15/2022,South,Tennessee,Knoxville,Women's Apparel,35,1,35,17,48%,Online
Foot Locker,1185732,10/16/2022,Southeast,Virginia,Richmond,Men's Athletic Footwear,50,177,"8,850","4,602",52%,Online
Kohl's,1189833,10/16/2022,West,New Mexico,Albuquerque,Men's Street Footwear,33,400,"13,200","7,920",60%,Online
Foot Locker,1185732,10/16/2022,West,Arizona,Phoenix,Women's Athletic Footwear,44,1,44,16,37%,Online
Sports Direct,1197831,10/16/2022,Northeast,Maryland,Baltimore,Women's Street Footwear,47,103,"4,841","2,178",45%,Online
Foot Locker,1185732,10/16/2022,Midwest,Illinois,Chicago,Men's Street Footwear,50,1,50,17,34%,In-store
Sports Direct,1197831,10/16/2022,South,Texas,Dallas,Women's Apparel,35,162,"5,670","2,608",46%,Online
Foot Locker,1185732,10/16/2022,West,Wyoming,Cheyenne,Men's Apparel,45,107,"4,815","2,022",42%,In-store
Sports Direct,1197831,10/16/2022,South,Texas,Dallas,Men's Athletic Footwear,43,133,"5,719","2,516",44%,Outlet
West Gear,1128299,10/16/2022,Midwest,Indiana,Indianapolis,Men's Apparel,40,266,"10,640","3,405",32%,Outlet
West Gear,1128299,10/16/2022,West,Oregon,Portland,Men's Street Footwear,35,214,"7,490","3,745",50%,Outlet
Kohl's,1189833,10/16/2022,West,California,Los Angeles,Men's Street Footwear,41,120,"4,920","2,608",53%,Online
Foot Locker,1185732,10/16/2022,Northeast,New Hampshire,Manchester,Women's Apparel,67,119,"7,973","3,588",45%,Outlet
Sports Direct,1197831,10/16/2022,West,New Mexico,Albuquerque,Women's Street Footwear,44,133,"5,852","3,043",52%,Online
Foot Locker,1185732,10/17/2022,Northeast,Connecticut,Hartford,Women's Street Footwear,43,133,"5,719","2,917",51%,Online
Foot Locker,1185732,10/17/2022,Midwest,Iowa,Des Moines,Women's Apparel,41,242,"9,922","4,068",41%,Outlet
West Gear,1128299,10/17/2022,West,Oregon,Portland,Men's Street Footwear,50,95,"4,750","2,232",47%,Outlet
Kohl's,1189833,10/17/2022,Midwest,Kansas,Wichita,Women's Athletic Footwear,57,136,"7,752","3,333",43%,Online
West Gear,1128299,10/17/2022,West,California,San Francisco,Women's Apparel,46,270,"12,420","7,452",60%,Online
Foot Locker,1185732,10/17/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,77,400,"30,800","14,168",46%,Outlet
West Gear,1128299,10/17/2022,West,Idaho,Boise,Men's Apparel,60,200,"12,000","5,400",45%,Outlet
Foot Locker,1185732,10/17/2022,West,Arizona,Phoenix,Women's Street Footwear,58,322,"18,676","9,898",53%,Outlet
Foot Locker,1185732,10/17/2022,Northeast,Rhode Island,Providence,Women's Athletic Footwear,7,181,"1,267",494,39%,Outlet
Foot Locker,1185732,10/17/2022,Southeast,Virginia,Richmond,Women's Apparel,51,89,"4,539","1,044",23%,In-store
Sports Direct,1197831,10/17/2022,Midwest,North Dakota,Fargo,Men's Apparel,35,238,"8,330","2,749",33%,Outlet
Foot Locker,1185732,10/17/2022,Southeast,Florida,Miami,Men's Street Footwear,35,224,"7,840","2,744",35%,In-store
Amazon,1185732,10/17/2022,Northeast,New Hampshire,Manchester,Women's Apparel,34,133,"4,522","2,713",60%,Online
West Gear,1128299,10/17/2022,Midwest,Indiana,Indianapolis,Women's Apparel,64,113,"7,232","2,097",29%,Outlet
Foot Locker,1185732,10/17/2022,Southeast,Florida,Miami,Men's Street Footwear,33,131,"4,323","1,945",45%,Online
West Gear,1128299,10/17/2022,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,23,400,"9,200","2,944",32%,Online
Kohl's,1189833,10/17/2022,Northeast,New Jersey,Newark,Men's Street Footwear,72,188,"13,536","5,414",40%,Online
Sports Direct,1197831,10/17/2022,South,Texas,Dallas,Women's Athletic Footwear,25,133,"3,325","1,962",59%,Online
Foot Locker,1185732,10/17/2022,Northeast,Rhode Island,Providence,Men's Apparel,64,133,"8,512","4,426",52%,Outlet
Foot Locker,1185732,10/17/2022,Northeast,Delaware,Wilmington,Women's Athletic Footwear,65,131,"8,515","4,428",52%,Online
Foot Locker,1185732,10/17/2022,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,40,184,"7,360","2,429",33%,Outlet
Foot Locker,1185732,10/17/2022,Midwest,Michigan,Detroit,Women's Apparel,57,141,"8,037","5,224",65%,Online
Foot Locker,1185732,10/17/2022,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,60,126,"7,560","3,856",51%,Outlet
Sports Direct,1197831,10/18/2022,South,Texas,Dallas,Men's Apparel,56,133,"7,448","3,724",50%,Online
Foot Locker,1185732,10/18/2022,West,Arizona,Phoenix,Men's Street Footwear,45,295,"13,275","6,372",48%,Online
Foot Locker,1185732,10/18/2022,Southeast,Florida,Miami,Men's Athletic Footwear,35,181,"6,335","1,900",30%,In-store
Amazon,1185732,10/18/2022,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,31,15,465,205,44%,Online
West Gear,1128299,10/18/2022,West,Idaho,Boise,Women's Street Footwear,42,158,"6,636","3,252",49%,Outlet
West Gear,1128299,10/18/2022,Midwest,Wisconsin,Milwaukee,Men's Apparel,46,111,"5,106","2,042",40%,In-store
Sports Direct,1197831,10/18/2022,South,Tennessee,Knoxville,Women's Athletic Footwear,40,133,"5,320","2,181",41%,Outlet
West Gear,1128299,10/18/2022,West,California,San Francisco,Women's Athletic Footwear,54,167,"9,018","4,780",53%,Online
Foot Locker,1185732,10/18/2022,Midwest,Iowa,Des Moines,Women's Athletic Footwear,31,161,"4,991","2,296",46%,Outlet
West Gear,1128299,10/18/2022,West,Oregon,Portland,Women's Street Footwear,39,133,"5,187","2,438",47%,Outlet
Kohl's,1189833,10/18/2022,West,California,Los Angeles,Women's Athletic Footwear,43,172,"7,396","3,032",41%,Online
Kohl's,1189833,10/18/2022,Northeast,New Jersey,Newark,Men's Apparel,41,266,"10,906","4,144",38%,In-store
Sports Direct,1197831,10/18/2022,South,Tennessee,Knoxville,Men's Street Footwear,22,1,22,12,53%,Outlet
West Gear,1128299,10/18/2022,South,Louisiana,New Orleans,Women's Athletic Footwear,39,1,39,23,60%,Online
Foot Locker,1185732,10/18/2022,Southeast,Florida,Miami,Men's Athletic Footwear,33,65,"2,145",858,40%,Online
Sports Direct,1197831,10/18/2022,Northeast,Massachusetts,Boston,Men's Street Footwear,37,268,"9,916","4,165",42%,In-store
Foot Locker,1185732,10/18/2022,Northeast,Delaware,Wilmington,Men's Athletic Footwear,58,136,"7,888","3,234",41%,Online
Amazon,1185732,10/18/2022,West,Alaska,Anchorage,Men's Street Footwear,37,133,"4,921","1,821",37%,Online
Sports Direct,1197831,10/19/2022,South,Mississippi,Jackson,Women's Street Footwear,51,133,"6,783","3,459",51%,Outlet
West Gear,1128299,10/19/2022,Northeast,West Virginia,Charleston,Men's Athletic Footwear,33,262,"8,646","3,718",43%,Online
Kohl's,1189833,10/19/2022,West,New Mexico,Albuquerque,Men's Street Footwear,36,187,"6,732","3,029",45%,Outlet
West Gear,1128299,10/19/2022,South,Louisiana,New Orleans,Women's Apparel,66,89,"5,874","3,172",54%,In-store
Foot Locker,1185732,10/19/2022,Southeast,Florida,Miami,Women's Street Footwear,25,1,25,8,30%,In-store
West Gear,1128299,10/19/2022,Northeast,Maryland,Baltimore,Men's Apparel,59,186,"10,974","5,487",50%,Online
Foot Locker,1185732,10/19/2022,Southeast,Virginia,Richmond,Women's Athletic Footwear,29,186,"5,394","2,265",42%,Online
West Gear,1128299,10/19/2022,West,Oregon,Portland,Women's Street Footwear,22,133,"2,926","1,346",46%,Online
Kohl's,1189833,10/19/2022,West,California,Los Angeles,Men's Athletic Footwear,42,133,"5,586","1,843",33%,Online
Sports Direct,1197831,10/19/2022,Midwest,Michigan,Detroit,Men's Street Footwear,57,301,"17,157","9,608",56%,Outlet
West Gear,1128299,10/19/2022,Midwest,Iowa,Des Moines,Women's Apparel,73,119,"8,687","3,562",41%,Online
Foot Locker,1185732,10/19/2022,Southeast,Florida,Miami,Women's Street Footwear,24,63,"1,512",665,44%,Online
Sports Direct,1197831,10/19/2022,Northeast,Massachusetts,Boston,Men's Street Footwear,49,145,"7,105","3,055",43%,Outlet
Foot Locker,1185732,10/19/2022,Southeast,South Carolina,Charleston,Men's Athletic Footwear,44,1,44,21,47%,In-store
Sports Direct,1197831,10/19/2022,Southeast,Florida,Orlando,Women's Street Footwear,42,266,"11,172","4,022",36%,Outlet
Foot Locker,1185732,10/19/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,45,133,"5,985","3,052",51%,Outlet
Kohl's,1189833,10/19/2022,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,26,82,"2,132",746,35%,Online
Walmart,1185732,10/19/2022,Southeast,Florida,Orlando,Women's Apparel,50,161,"8,050","3,462",43%,In-store
West Gear,1128299,10/19/2022,Northeast,Maryland,Baltimore,Men's Street Footwear,56,106,"5,936","2,968",50%,Outlet
Foot Locker,1185732,10/19/2022,West,Arizona,Phoenix,Men's Apparel,65,57,"3,705","1,297",35%,Online
Foot Locker,1185732,10/19/2022,Midwest,South Dakota,Sioux Falls,Men's Apparel,48,270,"12,960","4,406",34%,In-store
West Gear,1128299,10/19/2022,South,Louisiana,New Orleans,Men's Apparel,45,287,"12,915","5,812",45%,Outlet
Foot Locker,1185732,10/19/2022,Southeast,Virginia,Richmond,Women's Apparel,57,39,"2,223","1,334",60%,Outlet
Sports Direct,1197831,10/19/2022,South,Tennessee,Knoxville,Women's Street Footwear,52,147,"7,644","3,898",51%,Online
Sports Direct,1197831,10/19/2022,South,Texas,Dallas,Women's Street Footwear,71,133,"9,443","3,305",35%,In-store
Amazon,1185732,10/19/2022,Midwest,Ohio,Columbus,Men's Street Footwear,50,99,"4,950","1,683",34%,Online
West Gear,1128299,10/19/2022,West,Oregon,Portland,Women's Apparel,28,276,"7,728","3,400",44%,Outlet
Sports Direct,1197831,10/19/2022,South,Texas,Dallas,Men's Athletic Footwear,56,160,"8,960","4,480",50%,In-store
West Gear,1128299,10/19/2022,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,36,194,"6,984","3,213",46%,Outlet
West Gear,1128299,10/19/2022,West,California,San Francisco,Men's Athletic Footwear,60,52,"3,120","1,466",47%,Outlet
Foot Locker,1185732,10/19/2022,Northeast,Rhode Island,Providence,Women's Street Footwear,22,261,"5,742","2,354",41%,Online
Kohl's,1189833,10/19/2022,West,New Mexico,Albuquerque,Men's Athletic Footwear,51,111,"5,661","1,755",31%,Outlet
Foot Locker,1185732,10/19/2022,Midwest,Nebraska,Omaha,Women's Athletic Footwear,32,133,"4,256","2,043",48%,Outlet
Walmart,1185732,10/20/2022,South,Arkansas,Little Rock,Women's Apparel,31,311,"9,641","4,917",51%,Outlet
Sports Direct,1197831,10/20/2022,Southeast,Georgia,Atlanta,Men's Apparel,51,240,"12,240","3,427",28%,Outlet
Amazon,1185732,10/20/2022,Southeast,Kentucky,Louisville,Women's Apparel,48,78,"3,744","1,909",51%,Online
Amazon,1185732,10/20/2022,West,Alaska,Anchorage,Women's Athletic Footwear,20,133,"2,660","1,516",57%,Outlet
Kohl's,1189833,10/20/2022,West,New Mexico,Albuquerque,Men's Street Footwear,28,187,"5,236","2,985",57%,Online
Foot Locker,1185732,10/20/2022,Northeast,Rhode Island,Providence,Women's Apparel,56,161,"9,016","5,229",58%,Online
Foot Locker,1185732,10/20/2022,Southeast,Florida,Miami,Women's Athletic Footwear,29,26,754,339,45%,Online
Sports Direct,1197831,10/20/2022,South,Mississippi,Jackson,Women's Athletic Footwear,30,118,"3,540","1,805",51%,Online
Foot Locker,1185732,10/20/2022,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45,133,"5,985","2,753",46%,Outlet
Foot Locker,1185732,10/20/2022,Southeast,Florida,Miami,Women's Athletic Footwear,30,208,"6,240","2,184",35%,In-store
Sports Direct,1197831,10/20/2022,Northeast,Connecticut,Hartford,Men's Athletic Footwear,53,136,"7,208","3,316",46%,Online
Foot Locker,1185732,10/20/2022,South,Mississippi,Jackson,Men's Street Footwear,29,141,"4,089","1,922",47%,Online
Sports Direct,1197831,10/20/2022,Midwest,North Dakota,Fargo,Women's Apparel,55,80,"4,400","2,596",59%,Outlet
Amazon,1185732,10/20/2022,West,Alaska,Anchorage,Women's Apparel,42,69,"2,898","1,188",41%,Outlet
Walmart,1197831,10/20/2022,South,Texas,Houston,Men's Street Footwear,43,234,"10,062","4,930",49%,Online
Sports Direct,1197831,10/20/2022,South,Texas,Dallas,Men's Street Footwear,47,145,"6,815","2,522",37%,Outlet
Walmart,1197831,10/20/2022,South,Texas,Houston,Men's Street Footwear,34,270,"9,180","3,488",38%,Outlet
West Gear,1128299,10/20/2022,Northeast,New York,Albany,Men's Athletic Footwear,37,155,"5,735","2,810",49%,Outlet
